codigo;descripcion;bloque;seccion_key;tema;seccion;serie;seccion_rem
19201036;Trato no amable, digno ni respetuoso;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201037;Trato discriminatorio;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201038;Trato con falta de privacidad;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201039;Trato con falta de confidencialidad;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201040;Trato sin pertinencia cultural en la atención;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201041;Trato sin condiciones para el acompañamiento;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201042;Competencia técnica diagnóstico;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201043;Competencia técnica tratamiento farmacológico / clínico / cirugía;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201044;Eventos adversos;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201045;Infraestructura baños públicos;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201046;Infraestructura condiciones salas de espera, box de atención o sala de hospitalización;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201047;Infraestructura accesibilidad universal;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201048;Infraestructura comodidad y seguridad de camas, cunas y camillas de traslado;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201049;Condiciones de infraestructura para el acompañamiento;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19180700;Tiempo de espera (En sala de espera);A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19182070;Tiempo de espera, por consulta especialidad (Por lista de espera);A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19191010;Tiempo de espera, por procedimiento (Lista de espera);A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19191020;Tiempo de espera , por cirugía (Lista de espera);A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201050;Información del estado de salud;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201051;Información y trámites institucionales;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201052;Información sobre consentimiento informado;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201053;Información sobre acceso a ficha clínica;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201054;Información sobre acceso a médico tratante;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
19201055;Información de egreso o traslado;A;A;OIRS / Reclamos y solicitudes;SECCIÓN A: ATENCIÓN OFICINAS DE INFORMACIONES (SISTEMA INTEGRAL DE ATENCIÓN A USUARIOS);A;A19b
